#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-10-29T15:09:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5bd721134935 
#INFO -out.max=1000 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/523/A7&tab:{J/A+A/523/A7/table11}&key:source=J/A+A/523/A7/table11&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/523/A7/table11
#-order=I
#-out=SNLS
#-out=z
#-out=mb.S2
#-out=e_mb.S2
#-out=x1.S2
#-out=e_x1.S2
#-out=c.S2
#-out=e_c.S2
#
#
#RESOURCE=yCat_35230007
#Name: J/A+A/523/A7
#Title: Light curves of type Ia supernovae in SNLS (Guy+, 2010)
#Table J_A_A_523_A7_table11:
#Name: J/A+A/523/A7/table11
#Title: SALT2 and SiFTO light curve parameters
#---Details of Columns:
#    SNLS          (A6)    SN name (<SNLS NNANaa> in Simbad) [ucd=meta.id;meta.main]
#    z             (F7.4)  Heliocentric redshift [ucd=src.redshift]
#    mb.S2 (mag)   (F6.3)  SALT2 rest-frame B-band magnitude [ucd=phot.mag;meta.modelled]
#    e_mb.S2 (mag) (F6.3)  Statistical uncertainty on mb.S2 [ucd=stat.error]
#    x1.S2 (mag)   (F6.3)  SALT2 shape parameter x1 [ucd=phot.mag;meta.modelled]
#    e_x1.S2 (mag) (F6.3)  Statistical uncertainty on x1.S2 [ucd=stat.error]
#    c.S2 (mag)    (F6.3)  SALT2 colour parameter [ucd=phot.mag;meta.modelled]
#    e_c.S2 (mag)  (F6.3)  Statistical uncertainty on c.S2 [ucd=stat.error]
#------ ------- ------ ------ ------ ------ ------ ------
#                      e             e                   
#               mb.S2  _mb.S2 x1.S2  _x1.S2 c.S2   e_c.S2
#SNLS   z       (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#------ ------- ------ ------ ------ ------ ------ ------
04D1kj  0.5850 23.341  0.025  0.306  0.145 -0.080  0.029
04D1ks  0.7980 24.130  0.038  0.874  0.287  0.080  0.058
04D1oh  0.5900 23.385  0.032  0.011  0.240 -0.075  0.033
04D1ow  0.9150 24.317  0.046 -0.041  0.334 -0.180  0.051
04D1pc  0.7700 24.545  0.036  0.014  0.340  0.069  0.060
04D1pd  0.9500 24.681  0.059  0.371  0.476  0.009  0.058
04D1pg  0.5150 23.566  0.033  1.041  0.224  0.085  0.037
04D1pp  0.7350 23.993  0.031 -1.166  0.244 -0.118  0.051
04D1pu  0.6390 23.988  0.053 -1.502  0.388  0.074  0.084
04D1qd  0.7670 24.239  0.033  0.337  0.272 -0.002  0.051
04D1rh  0.4360 22.570  0.025  1.111  0.253 -0.058  0.026
04D1rx  0.9850 24.732  0.060  0.692  0.500 -0.107  0.059
04D1sa  0.5850 23.563  0.034 -0.468  0.307 -0.092  0.035
04D1si  0.7020 23.854  0.032  0.159  0.294 -0.030  0.052
04D1sk  0.6634 24.060  0.031  0.364  0.381  0.075  0.053
04D2ac  0.3480 22.330  0.029  0.433  0.203  0.074  0.031
04D2ae  0.8430 24.408  0.067  0.651  1.539  0.001  0.101
04D2al  0.8360 24.309  0.071 -1.176  1.052 -0.107  0.089
04D2an  0.6200 23.580  0.032 -0.215  0.511 -0.050  0.051
04D2bt  0.2200 21.560  0.053  0.028  0.129  0.121  0.031
04D2ca  0.8350 24.127  0.262  1.615  2.476  0.027  0.102
04D2cc  0.8380 24.236  0.107  0.133  0.788 -0.059  0.076
04D2cf  0.3690 22.474  0.050 -0.733  0.215 -0.015  0.036
04D2cw  0.5680 23.404  0.258  2.296  1.542 -0.092  0.105
04D2fp  0.4150 22.552  0.027  0.375  0.145 -0.039  0.028
04D2fs  0.3570 22.431  0.027  0.136  0.118  0.058  0.026
04D2gb  0.4500 22.900  0.031 -1.527  0.202  0.017  0.038
04D2gc  0.5210 23.322  0.031  1.193  0.271  0.012  0.037
04D2gp  0.7320 24.207  0.052 -1.261  0.436 -0.150  0.082
04D2iu  0.7000 24.233  0.052 -1.757  0.459  0.005  0.084
04D2ja  0.7400 24.114  0.053  0.530  0.421 -0.213  0.066
04D2kr  0.7441 23.863  0.032  0.875  0.306 -0.046  0.050
04D2mc  0.3480 22.517  0.039 -1.650  0.149  0.085  0.033
04D2mh  0.5900 23.383  0.031  1.599  0.235 -0.004  0.035
04D2mj  0.5130 23.764  0.033  1.521  0.263  0.127  0.037
04D3bf  0.1560 21.715  0.099  1.346  0.884  0.131  0.046
04D3co  0.6200 23.761  0.036 -0.664  0.234 -0.044  0.049
04D3cp  0.8300 24.093  0.042  0.714  0.293 -0.255  0.055
04D3cy  0.6430 23.779  0.036 -0.087  0.247 -0.029  0.062
04D3dd  1.0020 25.016  0.096  0.678  0.733 -0.034  0.072
04D3df  0.4700 23.532  0.029 -1.780  0.173  0.110  0.034
04D3do  0.6100 23.573  0.028 -0.723  0.172 -0.120  0.034
04D3ez  0.2630 21.668  0.029 -0.975  0.112  0.033  0.026
04D3fk  0.3578 22.508  0.026 -0.364  0.093  0.067  0.024
04D3fq  0.7420 24.105  0.037 -0.143  0.353 -0.054  0.064
04D3gt  0.4510 23.226  0.026 -0.182  0.122  0.177  0.029
04D3gx  0.9100 24.620  0.060 -0.474  0.401 -0.159  0.057
04D3hn  0.5520 23.484  0.028 -0.460  0.144  0.067  0.037
04D3kr  0.3370 21.941  0.027  1.155  0.122 -0.042  0.024
04D3ks  0.7500 23.818  0.043  0.610  0.311 -0.074  0.060
04D3lp  0.9830 24.978  0.103 -1.491  0.517 -0.066  0.077
04D3lu  0.8220 24.357  0.039 -0.459  0.248 -0.123  0.057
04D3mk  0.8130 24.275  0.038 -0.201  0.264 -0.143  0.054
04D3ml  0.9500 24.542  0.058  1.038  0.426 -0.128  0.053
04D3nc  0.8170 24.275  0.048  1.455  0.579 -0.058  0.058
04D3nh  0.3400 22.135  0.025  0.595  0.117 -0.024  0.023
04D3nq  0.2200 21.000  0.028  0.620  0.108 -0.015  0.026
04D3nr  0.9600 24.574  0.066  0.312  0.492 -0.007  0.055
04D3ny  0.8100 24.221  0.054 -0.071  0.618 -0.025  0.066
04D3oe  0.7560 24.060  0.033 -0.771  0.312 -0.247  0.057
04D4an  0.6130 24.027  0.042  0.074  0.435  0.012  0.043
04D4bk  0.8800 24.312  0.046  1.841  0.498 -0.094  0.060
04D4bq  0.5500 23.339  0.034  0.823  0.282  0.100  0.040
04D4dm  0.8110 24.384  0.044 -0.176  0.337 -0.006  0.060
04D4dw  1.0310 24.551  0.076  1.129  0.474 -0.143  0.063
04D4fx  0.6290 23.506  0.033  1.021  0.243 -0.041  0.049
04D4gg  0.4240 22.723  0.031  1.204  0.170  0.074  0.028
04D4gz  0.3750 23.392  0.038  0.136  0.236  0.153  0.031
04D4hf  0.9360 24.786  0.082  0.879  0.628  0.026  0.078
04D4ht  0.2170 22.656  0.030  0.765  0.152  0.437  0.027
04D4hu  0.7030 23.921  0.032  0.202  0.255 -0.131  0.054
04D4ib  0.6990 23.590  0.030  1.050  0.238 -0.144  0.050
04D4ic  0.6870 24.111  0.044 -0.935  0.424 -0.022  0.071
04D4id  0.7690 24.205  0.046  0.725  0.452 -0.185  0.058
04D4ih  0.9340 24.387  0.055  0.185  0.307 -0.237  0.049
04D4ii  0.8660 24.382  0.050  1.515  0.500  0.002  0.061
04D4im  0.7510 23.814  0.035  0.808  0.264 -0.012  0.056
04D4in  0.5160 22.894  0.030  1.660  0.209 -0.079  0.030
04D4jr  0.4700 22.642  0.027  1.521  0.187 -0.057  0.029
04D4ju  0.4720 23.756  0.027  0.537  0.225  0.146  0.035
04D4jw  0.9610 24.769  0.081 -0.676  0.376 -0.233  0.061
04D4jy  0.9300 24.717  0.074  0.030  0.473 -0.120  0.069
05D1az  0.8420 24.226  0.044  1.730  0.417 -0.003  0.058
05D1cb  0.6320 23.699  0.027 -0.203  0.214 -0.015  0.041
05D1cc  0.5640 23.505  0.029 -0.023  0.167 -0.021  0.032
05D1ck  0.6170 24.066  0.033  0.109  0.258  0.100  0.039
05D1cl  0.8300 24.350  0.048  2.358  0.436 -0.040  0.056
05D1dn  0.5660 23.300  0.028  1.336  0.257 -0.016  0.036
05D1dx  0.5800 23.293  0.025  0.716  0.153 -0.066  0.030
05D1ee  0.5590 23.524  0.030 -0.560  0.202 -0.018  0.036
05D1ej  0.3120 22.775  0.032 -1.264  0.136  0.265  0.028
05D1em  0.8660 24.265  0.044  0.342  0.303 -0.141  0.055
05D1eo  0.7370 24.310  0.037 -1.343  0.313 -0.076  0.064
05D1er  0.8600 24.606  0.052  0.516  0.465  0.062  0.069
05D1hk  0.2630 21.160  0.036  1.443  0.186 -0.038  0.028
05D1hm  0.5870 24.087  0.037  1.220  0.339  0.129  0.041
05D1hn  0.1490 21.155  0.042  0.654  0.198  0.306  0.032
05D1if  0.7630 24.031  0.036  0.191  0.258 -0.074  0.050
05D1ix  0.4900 22.874  0.027  0.626  0.162 -0.072  0.027
05D1iy  0.2478 21.685  0.041 -1.433  0.169 -0.037  0.033
05D1iz  0.8600 24.390  0.071  1.346  0.727 -0.124  0.076
05D1ju  0.7070 24.569  0.048 -0.241  0.480  0.247  0.074
05D1ke  0.6900 23.602  0.026  0.365  0.283 -0.125  0.047
05D1kl  0.5600 24.148  0.040  0.744  0.331  0.134  0.042
05D2ab  0.3230 21.985  0.026 -0.131  0.104 -0.047  0.023
05D2ac  0.4790 22.657  0.026  1.083  0.146 -0.049  0.027
05D2ah  0.1840 20.749  0.028 -0.001  0.080 -0.010  0.025
05D2ay  0.9200 24.661  0.070 -0.077  0.726  0.009  0.092
05D2bt  0.6800 23.505  0.034  0.606  0.295 -0.172  0.047
05D2bv  0.4740 22.717  0.026  0.030  0.141 -0.125  0.025
05D2bw  0.9200 24.348  0.069 -0.438  0.505 -0.173  0.064
05D2by  0.8910 24.556  0.052  1.470  0.548 -0.031  0.061
05D2cb  0.4270 23.392  0.034  0.850  0.209  0.157  0.030
05D2ci  0.6300 23.566  0.050 -1.048  0.298  0.039  0.066
05D2ck  0.6980 24.474  0.042 -2.312  0.471 -0.041  0.071
05D2ct  0.7340 24.379  0.058  0.434  0.511  0.070  0.067
05D2dt  0.5740 23.650  0.034  0.265  0.296  0.022  0.037
05D2dw  0.4170 22.469  0.031  1.094  0.203 -0.018  0.027
05D2dy  0.5100 22.921  0.029  1.252  0.293 -0.136  0.031
05D2eb  0.5340 23.007  0.038  1.151  0.348 -0.062  0.034
05D2ec  0.6400 23.675  0.032 -0.061  0.226 -0.113  0.051
05D2ei  0.3660 22.143  0.030  0.640  0.169  0.090  0.026
05D2fq  0.7330 24.000  0.034  0.914  0.334 -0.096  0.054
05D2hc  0.3500 22.683  0.027 -0.520  0.179  0.031  0.025
05D2he  0.6080 23.933  0.032  0.383  0.438  0.061  0.043
05D2ie  0.3480 22.223  0.030 -0.136  0.164 -0.082  0.027
05D2ja  0.3030 22.358  0.049  0.861  0.429  0.083  0.037
05D2le  0.7000 23.955  0.035  0.578  0.326 -0.047  0.049
05D2mp  0.3537 22.415  0.040  1.395  0.277  0.025  0.028
05D2my  0.9810 24.649  0.063  1.376  0.524 -0.053  0.058
05D2nn  0.8700 24.340  0.077 -1.346  0.540 -0.242  0.068
05D2nt  0.7570 24.091  0.034  1.592  0.362 -0.039  0.051
05D2ob  0.9240 24.780  0.058  1.004  0.678  0.019  0.066
05D3ax  0.6430 23.605  0.052  0.624  0.477 -0.078  0.063
05D3cf  0.4190 22.949  0.028 -0.154  0.181  0.011  0.028
05D3ci  0.5150 23.612  0.064  2.120  0.559  0.146  0.045
05D3cq  0.8900 24.179  0.045 -0.818  0.379 -0.225  0.057
05D3cx  0.8050 23.899  0.036  0.724  0.458 -0.153  0.049
05D3dd  0.4800 22.929  0.026 -0.135  0.129 -0.048  0.025
05D3dh  0.8000 24.195  0.039  0.252  0.287  0.100  0.062
05D3gp  0.5800 23.508  0.051 -0.536  0.421 -0.094  0.049
05D3gv  0.7150 23.997  0.037 -0.746  0.308 -0.081  0.061
05D3ha  0.8050 24.384  0.057 -0.023  0.425  0.088  0.065
05D3hh  0.7660 24.295  0.054  0.678  0.438 -0.014  0.062
05D3hq  0.3380 22.012  0.030 -0.152  0.117 -0.033  0.025
05D3hs  0.6640 23.503  0.034  0.560  0.229 -0.192  0.047
05D3ht  0.9010 24.371  0.058  0.901  0.404 -0.149  0.056
05D3jb  0.7450 23.918  0.032  0.968  0.261 -0.072  0.050
05D3jh  0.7180 23.737  0.031 -0.527  0.197 -0.145  0.049
05D3jk  0.7360 23.699  0.028  0.923  0.202 -0.130  0.046
05D3jq  0.5790 23.304  0.026  1.456  0.280 -0.002  0.030
05D3jr  0.3700 22.654  0.027 -0.829  0.138  0.063  0.024
05D3km  0.9600 24.706  0.058  0.518  0.337 -0.163  0.049
05D3kp  0.8500 24.117  0.036  1.335  0.275 -0.128  0.049
05D3kt  0.6480 23.961  0.030 -0.347  0.204  0.039  0.048
05D3kx  0.2190 20.866  0.029  0.759  0.108 -0.040  0.025
05D3la  0.9360 24.470  0.051 -0.163  0.282 -0.124  0.051
05D3lb  0.6470 23.887  0.028  0.437  0.197  0.017  0.048
05D3lc  0.4610 22.973  0.024 -0.597  0.119 -0.052  0.025
05D3lr  0.6000 23.850  0.043  0.283  0.412  0.088  0.041
05D3mh  0.6700 24.073  0.039  1.132  0.490  0.064  0.054
05D3mn  0.7600 24.032  0.029  0.234  0.298 -0.044  0.050
05D3mq  0.2460 21.498  0.037 -0.760  0.288 -0.006  0.031
05D3mx  0.4700 23.028  0.030 -1.424  0.150 -0.092  0.035
05D3ne  0.1690 20.246  0.049 -1.660  0.294 -0.181  0.039
05D4af  0.4990 23.095  0.028  0.204  0.245 -0.044  0.030
05D4ag  0.6400 23.877  0.046  0.505  0.475  0.075  0.059
05D4av  0.5090 23.547  0.028  0.920  0.199  0.154  0.031
05D4ay  0.4080 24.244  0.054 -2.069  0.319  0.388  0.051
05D4be  0.5370 22.909  0.026  1.070  0.168 -0.167  0.028
05D4bf  0.5890 23.621  0.031  0.295  0.260 -0.016  0.040
05D4bi  0.7750 24.044  0.041  1.160  0.402 -0.135  0.062
05D4bj  0.7010 24.096  0.033  0.187  0.283  0.034  0.055
05D4bm  0.3720 22.221  0.026  0.284  0.087 -0.070  0.023
05D4cn  0.7630 24.076  0.034  1.178  0.269 -0.028  0.056
05D4cq  0.7010 23.740  0.031  0.837  0.289 -0.118  0.052
05D4cs  0.7900 23.966  0.033  1.406  0.244 -0.120  0.048
05D4cw  0.3750 22.146  0.026 -0.753  0.109 -0.140  0.025
05D4dt  0.4070 22.807  0.026 -0.899  0.115 -0.049  0.025
05D4dw  0.8550 24.420  0.043  0.574  0.373 -0.010  0.059
05D4dy  0.8100 24.596  0.044 -0.267  0.406 -0.129  0.063
05D4ef  0.6050 23.819  0.036 -1.419  0.233 -0.087  0.040
05D4ej  0.5850 23.717  0.030  0.331  0.195 -0.036  0.036
05D4ek  0.5360 23.285  0.030  0.312  0.194  0.048  0.031
05D4ev  0.7220 24.227  0.043 -1.060  0.321 -0.063  0.062
05D4fe  0.9840 24.907  0.078  3.119  0.811 -0.067  0.063
05D4ff  0.4020 22.589  0.028 -0.635  0.128 -0.008  0.026
05D4fg  0.8390 24.177  0.040  0.374  0.279 -0.155  0.054
05D4fo  0.3730 22.440  0.026 -0.674  0.099 -0.063  0.023
05D4gw  0.8080 24.455  0.053  0.188  0.456  0.023  0.065
05D4hn  0.8420 24.184  0.055  1.576  0.907  0.068  0.072
06D1ab  0.1820 21.437  0.065 -2.066  0.290  0.148  0.050
06D2ag  0.3100 22.063  0.034  0.675  0.147  0.090  0.025
06D2bk  0.4990 23.285  0.031  0.748  0.335  0.010  0.034
06D2ca  0.5310 23.309  0.032  1.296  0.391  0.045  0.033
06D2cb  1.0000 24.621  0.120  0.563  1.002 -0.127  0.074
06D2cc  0.5320 23.454  0.044 -0.463  0.372  0.059  0.050
06D2cd  0.9300 24.865  0.115  2.618  2.077  0.079  0.098
06D2ce  0.8200 24.192  0.055  2.112  0.981 -0.012  0.075
06D2ck  0.5520 23.424  0.034  0.274  0.434 -0.039  0.038
06D2ez  0.0820 18.454  0.074  1.659  0.539 -0.079  0.044
06D2fb  0.1240 19.762  0.028 -0.280  0.085 -0.034  0.026
06D2ff  0.3450 23.127  0.086  0.400  0.339  0.228  0.036
06D2ga  0.8400 24.285  0.080  1.676  1.010 -0.031  0.076
06D2gb  0.4420 22.997  0.041 -1.566  0.258  0.000  0.043
06D3bz  0.7270 23.962  0.042 -0.345  0.363 -0.106  0.064
06D3cb  1.0370 24.392  0.109  0.696  0.542 -0.121  0.067
06D3cc  0.6830 24.055  0.066  0.856  0.557 -0.023  0.080
06D3cn  0.2320 21.374  0.036  0.442  0.178  0.075  0.028
06D3df  0.4420 22.675  0.025  1.128  0.217 -0.024  0.024
06D3dl  0.3570 22.332  0.082  0.633  0.413  0.068  0.038
06D3do  0.7260 23.900  0.035  0.713  0.553 -0.086  0.051
06D3dt  0.2820 22.161  0.027  0.146  0.113  0.092  0.023
06D3ed  0.4040 22.614  0.025 -0.236  0.085 -0.064  0.023
06D3el  0.5190 22.895  0.027  0.880  0.164 -0.145  0.029
06D3em  0.6900 24.366  0.035  0.071  0.384  0.150  0.058
06D3en  1.0600 24.674  0.087 -1.143  0.473 -0.195  0.061
06D3et  0.5760 23.455  0.031 -1.329  0.188 -0.103  0.037
06D3fp  0.2680 21.735  0.027  0.049  0.081  0.061  0.023
06D3gh  0.7200 23.922  0.044  0.411  0.380 -0.075  0.063
06D3gn  0.2500 21.843  0.032 -0.531  0.136  0.102  0.028
06D3gx  0.7600 23.893  0.044  0.701  0.613 -0.135  0.073
06D4ba  0.7000 23.733  0.049  0.722  0.414 -0.134  0.067
06D4bo  0.5520 23.227  0.028  0.959  0.226 -0.047  0.030
06D4bw  0.7320 23.898  0.036  0.759  0.269 -0.005  0.058
06D4ce  0.8500 24.183  0.065  1.631  0.636 -0.109  0.061
06D4cl  1.0000 24.494  0.062  1.182  0.419 -0.099  0.054
06D4co  0.4370 22.513  0.024 -0.306  0.100 -0.053  0.023
06D4cq  0.4110 22.561  0.024  0.481  0.111 -0.041  0.022
06D4dh  0.3030 21.458  0.027  0.592  0.086 -0.151  0.022

#END#  -ref=VIZ5bd721134935 ======================================================================================================================================================
